"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.832362468E0	1.412756443E-1	-9.054803848E-1	1.187235355E0	1.499793761E0
2.842372315E0	6.086468697E-2	-7.724595070E-1	1.073278904E0	1.323754436E0
2.852382084E0	-1.070724726E-1	-6.947603226E-1	1.081420422E0	1.289816479E0
2.862361238E0	-2.700477242E-1	-6.085247993E-1	1.397679806E0	1.548139866E0
2.872371007E0	-6.380327940E-1	-4.763579369E-1	1.476951122E0	1.677911603E0
2.882380853E0	-9.607826471E-1	-3.065629005E-1	1.355360508E0	1.689404100E0
2.892360007E0	-9.993956089E-1	-1.813468933E-1	9.729318619E-1	1.406511531E0
2.902369853E0	-6.242945194E-1	-5.156469345E-2	4.976391792E-1	8.000295728E-1
2.912379622E0	3.481669426E-1	1.761999130E-1	9.071159363E-2	4.006185499E-1
2.922358776E0	1.134471655E0	1.447615623E-1	8.234977722E-4	1.143670636E0
2.932368622E0	1.548757315E0	8.617258072E-2	1.852798462E-1	1.562179105E0
2.942378392E0	1.526038051E0	-4.140377045E-2	5.386176109E-1	1.618831472E0
2.952357776E0	1.259623289E0	-2.830295563E-1	1.101827145E0	1.697285956E0
2.962367392E0	7.621817589E-1	-5.657801628E-1	1.970645428E0	2.187343509E0
2.972377161E0	1.966269016E-1	-8.025226593E-1	2.814156055E0	2.932947163E0
2.982356315E0	-1.697963476E-1	-8.346529007E-1	3.205081463E0	3.316326801E0
2.992366161E0	-4.813724756E-1	-7.434782982E-1	3.029932976E0	3.156734591E0
3.002375930E0	-6.379745007E-1	-6.250157356E-1	2.451060295E0	2.608707094E0
3.012355084E0	-7.278037071E-1	-4.979519844E-1	1.756541252E0	1.965474901E0
3.022364930E0	-5.223954916E-1	-4.322862625E-1	1.168170929E0	1.350700478E0
3.032374777E0	-5.107998848E-2	-4.491243362E-1	6.656408310E-1	8.046114283E-1
3.042384546E0	5.476453900E-1	-4.918150902E-1	3.416366577E-1	8.114882390E-1
3.052363700E0	9.944745898E-1	-4.788594246E-1	1.944437027E-1	1.120756179E0
3.062373546E0	1.280578494E0	-4.740166664E-1	2.090454102E-3	1.365495313E0
3.072383315E0	1.312871337E0	-5.170359612E-1	-2.659611702E-1	1.435859560E0
3.082362469E0	1.105733156E0	-5.740599632E-1	-6.252193451E-1	1.393947590E0
3.092372238E0	7.226423025E-1	-6.390471458E-1	-7.680602074E-1	1.233089467E0
