"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.472001544E0,-2.059352398E0,-9.080352783E-1,6.453163624E-1,2.341344394E0
1.481980698E0,-2.507034779E0,-5.334138870E-1,1.822161674E-1,2.569621857E0
1.491990467E0,-1.903453469E0,-7.435293198E-1,4.990944862E-1,2.103584147E0
1.502000313E0,-2.972919941E-1,-1.535568237E0,8.017377853E-1,1.757593758E0
1.512009929E0,5.915307999E-2,-2.307084560E0,1.016799212E0,2.521907788E0
1.521989313E0,-2.155275345E-1,-2.755985737E0,1.221055508E0,3.022066520E0
1.531999083E0,-7.056545019E-1,-2.497897148E0,6.359539032E-1,2.672428821E0
1.542008698E0,-6.875035763E-1,-1.968155384E0,6.707909107E-1,2.190035897E0
1.551988006E0,-1.142340064E0,-1.169713974E0,6.119027138E-1,1.745736674E0
1.561997852E0,-1.567615747E0,-1.099834442E-1,-1.762104034E-2,1.571568004E0
1.572007467E0,-2.010137081E0,1.460828781E-1,-5.064415932E-2,2.016074434E0
1.581986775E0,-1.590557575E0,4.486551285E-1,-4.313352108E-1,1.707985623E0
1.591996621E0,-2.822022438E-1,6.516208649E-1,-1.972265244E-1,7.369845045E-1
1.602006468E0,5.721554756E-1,6.969299316E-1,1.661264896E-1,9.168812510E-1
1.611985621E0,1.333979726E0,7.779312134E-1,6.044802666E-1,1.658335091E0
1.621995391E0,1.878511190E0,8.333473206E-1,7.887589931E-1,2.201229838E0
1.632005006E0,1.545089602E0,1.277345657E0,7.531802654E-1,2.141540175E0
1.641984391E0,1.187537551E0,1.304133415E0,3.200461864E-1,1.792606750E0
1.651994160E0,4.746068716E-1,9.116058350E-1,-2.356493473E-1,1.054422826E0
1.662004006E0,-2.980072498E-1,2.565298080E-1,-5.416047573E-1,6.692918470E-1
1.671983160E0,-7.705820799E-1,-1.102450371E0,-2.765250206E-1,1.373193231E0
1.681992929E0,-1.126286030E0,-1.691085339E0,-1.209118605E0,2.364372569E0
1.692002775E0,-6.115853190E-1,-2.233872414E0,-1.416411638E0,2.714856256E0
1.701981929E0,5.798851252E-1,-3.026872158E0,-9.493079185E-1,3.224811211E0
1.711991699E0,8.173235059E-1,-3.193058491E0,-1.646590233E-2,3.296044806E0
1.722001545E0,-2.087976635E-1,-2.518980026E0,8.732435703E-1,2.674212252E0
1.731980699E0,1.052069068E-1,-1.414787769E0,5.801823139E-1,1.532744089E0
1.741990468E0,1.952124357E0,-5.628194809E-1,8.495903015E-2,2.033414201E0
1.752000314E0,2.167821884E0,-5.799951553E-1,-8.963537216E-2,2.245858544E0
1.762009929E0,1.096941471E0,-1.080113411E0,6.073836088E-1,1.654944235E0
1.771989237E0,-9.062915444E-1,-9.254016876E-1,8.909856081E-1,1.572128494E0
1.781999083E0,-2.363423347E0,-5.624694824E-1,1.944542408E0,3.111814103E0
1.792008699E0,-3.420128345E0,1.898984909E-1,2.481050014E0,4.229532895E0
1.801988006E0,-3.909598351E0,1.654811859E0,1.937092066E0,4.666442673E0
1.811997853E0,-2.747854710E0,2.579998970E0,1.981607556E0,4.258388040E0
1.822007468E0,-2.640570164E0,3.463154793E0,1.552228332E0,4.623360758E0
1.831986776E0,-2.413943291E0,3.955012321E0,1.925814867E0,5.017769183E0
1.841996622E0,-2.218651533E0,4.357223511E0,2.364883423E0,5.431434889E0
1.852006468E0,-2.473837137E-1,2.393128395E0,3.066832781E0,3.897912970E0
1.861985622E0,-6.373977661E-1,2.313299179E0,2.966885328E0,3.815761727E0
1.871995391E0,3.501357436E-1,2.557185173E0,1.419956207E0,2.945855848E0
1.882005237E0,2.268647671E0,9.049367905E-1,1.368985415E0,2.799963199E0
